2019-11-13 21:45:55,669 : 'a'
2019-11-13 21:45:56,262 : 'b'
2019-11-13 21:45:56,684 : 'c'
2019-11-13 21:45:56,935 : 'd'
2019-11-13 21:45:57,172 : 'e'
2019-11-13 21:45:57,379 : 'f'
2019-11-13 21:45:57,575 : 'g'
2019-11-13 21:45:58,339 : 'h'
2019-11-13 21:45:58,559 : 'i'
2019-11-13 21:45:58,759 : 'j'
2019-11-13 21:45:59,028 : 'k'
2019-11-13 21:45:59,224 : 'l'
2019-11-13 21:45:59,443 : 'm'
2019-11-13 21:45:59,648 : 'n'
2019-11-13 21:45:59,848 : 'o'
2019-11-13 21:46:00,054 : 'p'
2019-11-13 21:46:00,193 : 'q'
2019-11-13 21:46:00,389 : 'r'
2019-11-13 21:46:00,593 : 's'
2019-11-13 21:46:00,760 : 't'
2019-11-13 21:46:00,946 : 'u'
2019-11-13 21:46:01,135 : 'v'
2019-11-13 21:46:01,339 : 'w'
2019-11-13 21:46:01,633 : 'x'
2019-11-13 21:46:01,849 : 'y'
2019-11-13 21:46:02,048 : 'z'
2019-11-13 21:46:03,640 : 'n'
2019-11-13 21:46:03,715 : 'o'
2019-11-13 21:46:03,828 : 'w'
2019-11-13 21:46:04,048 : Key.space
2019-11-13 21:46:04,616 : 'i'
2019-11-13 21:46:04,743 : Key.space
2019-11-13 21:46:04,864 : 'k'
2019-11-13 21:46:04,917 : 'n'
2019-11-13 21:46:05,020 : 'o'
2019-11-13 21:46:05,067 : 'w'
2019-11-13 21:46:05,163 : Key.space
2019-11-14 09:41:28,343 : 'h'
2019-11-14 09:41:28,395 : 'e'
2019-11-14 09:41:28,520 : 'l'
2019-11-14 09:41:28,656 : 'l'
2019-11-14 09:41:28,849 : 'o'
2019-11-14 09:41:28,953 : Key.space
2019-11-14 09:41:29,076 : 'm'
2019-11-14 09:41:29,198 : 'y'
2019-11-14 09:41:29,236 : Key.space
2019-11-14 09:41:29,331 : 'n'
2019-11-14 09:41:29,413 : 'a'
2019-11-14 09:41:29,518 : 'm'
2019-11-14 09:41:29,658 : 'e'
2019-11-14 09:41:29,732 : Key.space
2019-11-14 09:41:29,876 : 'i'
2019-11-14 09:41:30,032 : 's'
2019-11-14 09:41:30,081 : Key.space
2019-11-14 09:41:30,189 : 'm'
2019-11-14 09:41:30,311 : 'i'
2019-11-14 09:41:30,409 : 'l'
2019-11-14 09:41:30,478 : 'a'
2019-11-14 09:41:30,555 : 'n'
2019-11-14 09:41:30,661 : Key.space
2019-11-14 09:41:30,740 : 'l'
2019-11-14 09:41:30,798 : 'e'
2019-11-14 09:41:30,921 : 'o'
2019-11-14 09:41:31,027 : 'n'
2019-11-14 09:41:31,029 : 'a'
2019-11-14 09:41:31,153 : 'r'
2019-11-14 09:41:31,287 : 'd'
2019-11-14 09:41:31,489 : Key.space
2019-11-14 09:41:31,490 : 'h'
2019-11-14 09:41:31,493 : 'o'
2019-11-14 09:41:31,554 : 'w'
2019-11-14 09:41:31,681 : Key.space
2019-11-14 09:41:31,908 : 'i'
2019-11-14 09:41:32,015 : 's'
2019-11-14 09:41:32,150 : Key.space
2019-11-14 09:41:32,221 : 'i'
2019-11-14 09:41:32,288 : 't'
2019-11-14 09:41:32,381 : Key.space
2019-11-14 09:41:32,481 : 'g'
2019-11-14 09:41:32,557 : 'o'
2019-11-14 09:41:32,620 : 'i'
2019-11-14 09:41:32,698 : 'n'
2019-11-14 09:41:32,760 : 'g'
2019-11-14 09:41:32,890 : Key.space
2019-11-14 09:41:36,150 : Key.enter
2019-11-14 09:41:36,312 : Key.enter
